Sr No,BRANCH CODE,BRANCH NAME,STATE,CITY,ZONE,PIN CODE
338,0429,DEOLI,RAJASTHAN,DEOLI,NORTH 2,304804
339,0431,BHADHOI,UTTAR PRADESH,BHADOHI,NORTH 2,221401
340,0432,PHASE XI MOHALI,PUNJAB,MOHALI,NORTH 2,160062
341,0433,THARIKE,PUNJAB,LUDHIANA,NORTH 2,142021
342,0434,PIPLI MAJRA,HARYANA,KURUKSHETRA,NORTH 2,136131
343,0435,OBAREE,UTTAR PRADESH,BARABANKI,NORTH,225001
344,0436,MAHAPURA,RAJASTHAN,JAIPUR,NORTH 2,302026
345,0437,GOPIGANJ,UTTAR PRADESH,BHADOHI,NORTH 2,221303
346,0438,PALIA KALAN,UTTAR PRADESH,GOLA GORAKHNATH,NORTH 2,262902
347,0439,BANSWARA,RAJASTHAN,BANSWADA,NORTH 2,327001
348,0440,SANGRUR,PUNJAB,SANGRUR,NORTH 2,148001
349,0441,JODHPUR 2,RAJASTHAN,JODHPUR,NORTH 2,342006
350,0446,RANIWARA,RAJASTHAN,RANIWARA,NORTH 2,343040
